[?]  Bournemouth v Man Utd  (English Premier League Matches)  | Price Boosts  | Diallo to win 3+ fouls  @ [{'bookieCode': 'SK', 'oddsFractional': '2/1', 'oddsDecimal': '3.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '36423178*930.356089852'}]
[?]  Bournemouth v Man Utd  (English Premier League Matches)  | Price Boosts  | Cunha to score  @ [{'bookieCode': 'SK', 'oddsFractional': '2/1', 'oddsDecimal': '3.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '20285883*930.356089852'}]
[?]  Brighton v Liverpool  (English Premier League Matches)  | Price Boosts  | D Gomez 3+ fouls committed  @ [{'bookieCode': 'SK', 'oddsFractional': '2/1', 'oddsDecimal': '3.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '7959937*930.356217523'}]
[?]  Leeds v Brentford  (English Premier League Matches)  | Price Boosts  | Calvert-Lewin 2+ shots on target  @ [{'bookieCode': 'SK', 'oddsFractional': '2/1', 'oddsDecimal': '3.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '44330813*930.356219647'}]
[?]  Leeds v Brentford  (English Premier League Matches)  | Price Boosts  | Igor Thiago & Ethan Ampadu to commit 2 or more fouls each  @ [{'bookieCode': 'PP', 'oddsFractional': '2/1', 'oddsDecimal': '3.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '96546760*927.373536630'}]
[?]  Leeds v Brentford  (English Premier League Matches)  | Price Boosts  | Dominic Calvert-Lewin to have 2 or more shots on target  @ [{'bookieCode': 'PP', 'oddsFractional': '2/1', 'oddsDecimal': '3.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '28760619*927.373536630'}]
[?]  Leeds v Brentford  (English Premier League Matches)  | Price Boosts  | Dominic Calvert-Lewin to have 2 or more shots on target (Winner in last match v Brentford)  @ [{'bookieCode': 'PP', 'oddsFractional': '2/1', 'oddsDecimal': '3.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '96546762*927.373536630'}]
[?]  Everton v Chelsea  (English Premier League Matches)  | Price Boosts  | Cole Palmer 2+Shots On Target (Impact Sub Applies)  @ [{'bookieCode': 'WH', 'oddsFractional': '2/1', 'oddsDecimal': '3.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '6129419587*1711600801*Cole+Palmer+2++Shots+On+Target+(Impact+Sub+Applies)*Enhanced+Odds*false*OB_EV38960190'}]
[?]  Aston Villa v West Ham  (English Premier League Matches)  | Price Boosts  | Buendia and Castellanos To Each Have 1+ Shots On Target (Was 9/5)  @ [{'bookieCode': 'LD', 'oddsFractional': '2/1', 'oddsDecimal': '3.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '254978605*1064680110*3211817563*Aston Villa vs West Ham United*Price Boosts*--'}]
[?]  Aston Villa v West Ham  (English Premier League Matches)  | Price Boosts  | John McGinn to score or assist  @ [{'bookieCode': 'SK', 'oddsFractional': '2/1', 'oddsDecimal': '3.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '6753614*930.356393256'}]
[?]  Aston Villa v West Ham  (English Premier League Matches)  | Price Boosts  | Ollie Watkins To Score Anytime (Impact Sub Applies)  @ [{'bookieCode': 'WH', 'oddsFractional': '2/1', 'oddsDecimal': '3.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '6131519936*1712061946*Ollie+Watkins+To+Score+Anytime+(Impact+Sub+Applies)*Enhanced+Odds*false*OB_EV38960197'}]
[?]  Tottenham v Nottingham Forest  (English Premier League Matches)  | Price Boosts  | Richarlison To Score Anytime (Impact Sub Applies)  @ [{'bookieCode': 'WH', 'oddsFractional': '2/1', 'oddsDecimal': '3.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '6131538645*1712066303*Richarlison+To+Score+Anytime+(Impact+Sub+Applies)*Enhanced+Odds*false*OB_EV38960195'}]
[?]  Bournemouth v Man Utd  (English Premier League Matches)  | Price Boosts  | Kroupi to score  @ [{'bookieCode': 'SK', 'oddsFractional': '2/1', 'oddsDecimal': '3.0', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '91391848*930.356089852'}]
[?]  Fulham v Burnley  (English Premier League Matches)  | Price Boosts  | Fulham To Win 1-0, 2-0 Or 3-0 (Was 19/10)  @ [{'bookieCode': 'LD', 'oddsFractional': '21/10', 'oddsDecimal': '3.1', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '254978602*1064673546*3211796919*Fulham FC vs Burnley*Price Boosts*--'}]
[?]  Fulham v Burnley  (English Premier League Matches)  | Price Boosts  | Burnley To Win Either Half WAS 9/4  @ [{'bookieCode': 'BY', 'oddsFractional': '9/4', 'oddsDecimal': '3.25', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '43842272.1*461069734.1*2896273627.1'}]
[?]  Fulham v Burnley  (English Premier League Matches)  | Price Boosts  | Fulham Win & Both Teams To Score WAS 9/4  @ [{'bookieCode': 'BY', 'oddsFractional': '9/4', 'oddsDecimal': '3.25', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '43842272.1*461069734.1*2896273632.1'}]
[?]  Brighton v Liverpool  (English Premier League Matches)  | Price Boosts  | Liverpool To Score In Both Halves WAS 7/4  @ [{'bookieCode': 'BY', 'oddsFractional': '9/4', 'oddsDecimal': '3.25', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '43842271.1*461069614.1*2896272980.1'}]
[?]  Everton v Chelsea  (English Premier League Matches)  | Price Boosts  | A Goal To Be Scored In The First 15 Minutes (Was 21/10)  @ [{'bookieCode': 'LD', 'oddsFractional': '9/4', 'oddsDecimal': '3.25', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '254978604*1064675996*3211803533*Everton FC vs Chelsea*Price Boosts*--'}]
[?]  Tottenham v Nottingham Forest  (English Premier League Matches)  | Price Boosts  | 4+ Goals Scored (Was 21/10)  @ [{'bookieCode': 'LD', 'oddsFractional': '9/4', 'oddsDecimal': '3.25', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '254978607*1064682062*3211820754*Tottenham Hotspur vs Nottingham Forest*Price Boosts*--'}]
[?]  Tottenham v Nottingham Forest  (English Premier League Matches)  | Price Boosts  | Morgan Gibbs-White To Score (Was 21/10)  @ [{'bookieCode': 'LD', 'oddsFractional': '9/4', 'oddsDecimal': '3.25', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '254978607*1064682062*3211820851*Tottenham Hotspur vs Nottingham Forest*Price Boosts*--'}]
[?]  Aston Villa v West Ham  (English Premier League Matches)  | Price Boosts  | Morgan Rogers 2+ Shots On Target (Impact Sub Applies)  @ [{'bookieCode': 'WH', 'oddsFractional': '9/4', 'oddsDecimal': '3.25', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '6131524194*1712061946*Morgan+Rogers+2++Shots+On+Target+(Impact+Sub+Applies)*Enhanced+Odds*false*OB_EV38960197'}]
[?]  Leeds v Brentford  (English Premier League Matches)  | Price Boosts  | Brentford To Be Ahead At Half Time (Was 11/5)  @ [{'bookieCode': 'LD', 'oddsFractional': '23/10', 'oddsDecimal': '3.3', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '254978608*1064681221*3211819029*Leeds United vs Brentford*Price Boosts*--'}]
[?]  Everton v Chelsea  (English Premier League Matches)  | Price Boosts  | Chelsea Win 1-0, 2-0 or 2-1 WAS 9/4  @ [{'bookieCode': 'BY', 'oddsFractional': '5/2', 'oddsDecimal': '3.5', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '43842273.1*461070057.1*2896276294.1'}]
[?]  Bournemouth v Man Utd  (English Premier League Matches)  | Price Boosts  | Manchester United Win & Both Teams To Score WAS 5/2  @ [{'bookieCode': 'BY', 'oddsFractional': '5/2', 'oddsDecimal': '3.5', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '43827516.1*461069613.1*2896272973.1'}]
[?]  Brighton v Liverpool  (English Premier League Matches)  | Price Boosts  | Match Result & Total Goals - Liverpool/Over 2.5 WAS 15/8  @ [{'bookieCode': 'BY', 'oddsFractional': '5/2', 'oddsDecimal': '3.5', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '43842271.1*461069614.1*2896272982.1'}]
[?]  Aston Villa v West Ham  (English Premier League Matches)  | Price Boosts  | Aston Villa Win 1-0, 2-0 or 2-1 WAS 9/4  @ [{'bookieCode': 'BY', 'oddsFractional': '5/2', 'oddsDecimal': '3.5', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '43854504.1*461070295.1*2896277816.1'}]
[?]  Bournemouth v Man Utd  (English Premier League Matches)  | Price Boosts  | Bruno Fernandes To Assist 1+ Goals  @ [{'bookieCode': 'WA', 'oddsFractional': '5/2', 'oddsDecimal': '3.5', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '2077503341*576875385*16443789'}]
[?]  Bournemouth v Man Utd  (English Premier League Matches)  | Price Boosts  | Matheus Cunha 2+ Shots On Target (Impact Sub Applies)  @ [{'bookieCode': 'WH', 'oddsFractional': '5/2', 'oddsDecimal': '3.5', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '6128739229*1711461727*Matheus+Cunha+2++Shots+On+Target+(Impact+Sub+Applies)*Enhanced+Odds*false*OB_EV38960185'}]
[?]  Brighton v Liverpool  (English Premier League Matches)  | Price Boosts  | A Mac Allister & D Gomez to commit 2+ fouls each (Have combined for 19 fouls committed in their last 4 EPL matches)  @ [{'bookieCode': 'PP', 'oddsFractional': '5/2', 'oddsDecimal': '3.5', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '96546714*927.373534918'}]
[?]  Brighton v Liverpool  (English Premier League Matches)  | Price Boosts  | Brighton To Be Ahead At Half Time (Was 23/10)  @ [{'bookieCode': 'LD', 'oddsFractional': '5/2', 'oddsDecimal': '3.5', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '254978603*1064672268*3211789226*Brighton & Hove Albion vs Liverpool*Price Boosts*--'}]
[?]  Leeds v Brentford  (English Premier League Matches)  | Price Boosts  | Igor Thiago 1+ Shots on Target, Igor Thiago 1+ Fouls Committed, Igor Thiago 1+ Fouls Won & Igor Thiago 1+ Tackles  @ [{'bookieCode': 'FR', 'oddsFractional': '5/2', 'oddsDecimal': '3.5', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '950697541'}]
[?]  Newcastle v Sunderland  (English Premier League Matches)  | Price Boosts  | Nick Woltemade To Score And Newcastle United To Win  @ [{'bookieCode': 'WA', 'oddsFractional': '13/5', 'oddsDecimal': '3.6', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '2077481994*576867694*16443805'}]
[?]  Bournemouth v Man Utd  (English Premier League Matches)  | Price Boosts  | Man Utd To Win and Both Teams To Score (Was 12/5)  @ [{'bookieCode': 'LD', 'oddsFractional': '13/5', 'oddsDecimal': '3.6', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '254840270*1064582420*3211481585*AFC Bournemouth vs Manchester United*Price Boosts*--'}]
[?]  Bournemouth v Man Utd  (English Premier League Matches)  | Price Boosts  | Man Utd To Win & Both Teams To Score  @ [{'bookieCode': 'FR', 'oddsFractional': '5/2', 'oddsDecimal': '3.5', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '950350898'}]
[?]  Leeds v Brentford  (English Premier League Matches)  | Price Boosts  | Leeds To Score In Both Halves WAS 11/4  @ [{'bookieCode': 'BY', 'oddsFractional': '11/4', 'oddsDecimal': '3.75', 'oddsUs': '', 'priceType': 'LP', 'bookmakerBetId': '43842274.1*461070069.1*2896276362.1'}]
